supplier_name,address,email,phone_number,product_category,product_name,supplier_quantity,supplier_rating,delivery_time_in_days
"Woods, Benson and Johnson","2846 Fox Station Apt. 408
Hernandezshire, PA 95568",raymond10@thomas-rios.com,965.807.3555x433,Laptops,Dell Inspiron 15,4855,10,11
Flores Ltd,"11186 Jensen Valley
Morrisside, IA 15484",juanrichard@elliott.com,8302625442,Storage,Dell Compellent SC5020,1263,8,14
"Love, Farmer and Olsen","61982 Amanda Squares
Hollandbury, FM 23299",jordan01@dunn.biz,+1-237-604-9054,Storage,Dell EMC Unity XT,5983,4,20
Rice-Salazar,"9106 Smith Shores Suite 598
Lake Lynnfurt, AS 10918",andrew88@cruz-cannon.com,894.757.9331x322,Laptops,Dell XPS 13,9362,1,22
Valencia Inc,"7864 Stephanie Alley Suite 361
Turnerview, HI 94444",lesliegonzales@buchanan-morgan.com,001-300-650-5468x7849,Servers,Dell PowerEdge T340,6137,5,14
"Nguyen, Miller and Coffey","72529 Steven Knolls
Lake Kristamouth, ND 79770",carpentertyler@brewer.biz,(900)265-9472,Servers,Dell PowerEdge R740,1143,6,30
Brown and Sons,"71361 Bennett Inlet Suite 288
Jonesmouth, NJ 00589",ochoabarbara@conner.biz,(766)590-5656x3495,Servers,Dell PowerEdge R540,3704,2,10
"Martin, Anderson and Johnson","675 Kimberly Passage
New Nicole, DE 90705",gwashington@jordan.biz,001-856-312-2242x2718,Storage,Dell Compellent SC5020,2673,8,12
Peters PLC,"1174 Michael Way Apt. 429
Port Mark, WI 65007",laurie70@richardson.com,001-586-934-2928x22592,Monitors,Dell SE2419HX,7904,5,22
"Taylor, Galloway and Chavez","31936 Lewis Gardens Apt. 642
New Hannahborough, ME 85677",ninamckinney@green-kim.biz,+1-476-549-3895x906,Monitors,Dell UltraSharp U2720Q,797,3,11
"Irwin, Koch and Smith","USNS Grant
FPO AE 35611",carolynlang@perry-anderson.com,(695)584-6269,Servers,Dell PowerEdge R540,5469,2,12
"Brown, Mcdonald and Hardin","USCGC Yates
FPO AE 33442",joannewilliams@lawson.com,652.773.6345x38335,Monitors,Dell UltraSharp U2720Q,2247,10,15
Olson LLC,"04713 Dixon Avenue
Lake Summermouth, PW 61147",darius70@delacruz.com,001-369-225-0947x1609,Storage,Dell EMC Unity XT,635,3,20
"Anderson, Henry and Wilcox","533 Williams Squares
Garymouth, MT 44283",rodriguezstephanie@valencia.biz,2735454824,Servers,Dell PowerEdge R540,9061,7,10
"Herrera, Maldonado and Adams","5374 Davis Pine
Fordton, AL 55443",brian26@buck-roberts.net,8099328058,Storage,Dell EMC Unity XT,3528,10,22
Chang LLC,"258 Thompson Mission
Lake Carl, CT 23514",reynoldschristopher@anderson-maynard.com,001-204-934-7945x1985,Laptops,Dell XPS 13,4779,10,5
"Pruitt, Christian and Mills","180 Lopez Views Apt. 835
Lake Daniel, TX 62198",mbarron@peterson.biz,+1-502-763-7618x23222,Servers,Dell PowerEdge R740,9729,8,5
Morton-Miller,"4628 Amanda Circles
New Beth, NC 28786",wford@martin.com,813.658.0613x0043,Laptops,Dell Latitude 7400,9124,8,24
"Barrett, Boyd and Wise","9458 Joseph Valleys
Lake Joseph, CA 22541",bbauer@harvey.info,689.647.0551x6706,Monitors,Dell P2419H,2523,9,10
Buchanan PLC,"545 Marsh Pine Apt. 737
New Chelsea, MT 60101",zmoore@harris-alexander.com,+1-746-425-9639,Storage,Dell PowerVault ME4,156,5,13
Bailey-Guzman,"06176 Atkins Shoal
Jillberg, ND 73620",chrisstevens@jackson-porter.com,+1-567-472-5881x8278,Monitors,Dell P2419H,3049,10,11
"Gray, Hayes and Johnson","39519 Petersen Roads
Oliviastad, DE 50714",kristachang@cook.com,+1-394-767-9394,Servers,Dell PowerEdge R740,8422,3,16
"Casey, Smith and Robbins","PSC 7245, Box 5280
APO AP 42481",curtis79@duke-medina.com,596-735-2121x72136,Servers,Dell PowerEdge T340,8709,4,16
Golden-Pugh,"PSC 9367, Box 6266
APO AP 95394",cmartinez@peterson-leach.com,284-959-4222x354,Storage,Dell Compellent SC5020,5810,6,8
Johnson PLC,"2239 Robinson Rapid Suite 496
Whitemouth, WI 41450",olivertodd@rojas-klein.com,871-468-9302x0660,Laptops,Dell XPS 13,4201,6,23
"Russell, Moore and Bell","397 Michael Extension Suite 294
East Justinborough, HI 40814",uyates@west.com,539-598-6900x691,Storage,Dell Compellent SC5020,3800,6,30
"Smith, Rose and Richards","780 Katherine Terrace
North Amy, ME 80713",ericarodriguez@harris.com,526.376.9843x770,Laptops,Dell XPS 13,3298,1,12
Silva-Haas,"70127 Gordon Plains
North Dustinchester, NC 01857",whitechristopher@smith-lewis.com,+1-669-747-5601,Monitors,Dell P2419H,3654,2,27
"Strickland, Hurley and Taylor","Unit 0160 Box 0396
DPO AP 75039",jason09@rivas.com,+1-905-583-5324x0950,Monitors,Dell SE2419HX,9250,7,12
Gilbert-Combs,"6451 Bennett Mountain Suite 835
Allenmouth, OK 97958",davidfernandez@boyer-gonzalez.net,(524)234-7249,Servers,Dell PowerEdge R740,8332,5,28
"Barnett, Mcbride and Cook","6590 Joseph Point
South Kiara, NY 55554",allentravis@ellis-barnett.com,4655363380,Laptops,Dell Latitude 7400,8896,10,20
Molina-Willis,"37230 Kelly Overpass
West Michael, AR 56348",jmoon@tran-diaz.com,(504)333-7624,Servers,Dell PowerEdge R540,5114,7,10
"Garcia, Butler and Miller","2887 Smith Plains
New Sharon, TX 16151",paulacook@savage.com,548.892.1284x8685,Laptops,Dell XPS 13,9902,7,29
Mcfarland-Phillips,"471 Beverly Corners
New Jacob, OK 22532",justin35@meyer.net,001-772-687-0134,Monitors,Dell UltraSharp U2720Q,1855,8,14
"Brooks, Sparks and Gutierrez","1231 Sharon Corners
Bernardburgh, IN 67293",rebeccawhite@robinson-johnson.com,+1-293-849-4617x1547,Monitors,Dell SE2419HX,9707,1,9
"Williams, Davis and Jacobs","2950 Carol Brook
Josephview, HI 29918",jenna70@avila.com,855.370.1532,Monitors,Dell P2419H,9359,9,5
Miller Ltd,"27983 William Loop
Murraymouth, NJ 78114",shawnadavis@anderson-case.com,667-803-6342x45174,Storage,Dell Compellent SC5020,6601,2,23
Fields and Sons,"909 Gina Road Suite 367
New Jesusberg, MS 91679",cuevasannette@jackson.biz,493-940-9032,Laptops,Dell Inspiron 15,1585,6,17
Clark-Bowers,"Unit 8348 Box 7007
DPO AE 42049",stacyjones@jordan.com,(732)544-6908x4620,Laptops,Dell Latitude 7400,1267,7,18
Porter Inc,"0196 Stephanie Radial
North Courtney, TN 08439",mariasilva@mclaughlin-alvarez.com,+1-648-248-4442x94202,Storage,Dell Compellent SC5020,7782,2,12
Kerr Ltd,"78063 Brown Vista Suite 192
Huynhmouth, WY 06219",aaron54@neal.com,(422)753-5797x79394,Servers,Dell PowerEdge R740,2135,2,5
Carroll-Williams,"25051 Bennett Courts
East Yvette, AS 83368",moorebobby@wade.com,611-734-8230x5007,Servers,Dell PowerEdge T340,9923,4,29
Smith-Wallace,"79801 Anna Crossroad
New Daniel, MP 53817",anguyen@rodriguez-nguyen.com,4994018879,Storage,Dell PowerVault ME4,1510,5,5
Mcbride Ltd,"1297 Kathleen Shoal
Shannonburgh, MI 12331",dbrown@davis.com,2287218544,Laptops,Dell Inspiron 15,9737,7,30
Miller LLC,"131 Rhonda Manor Suite 583
Amystad, SD 06508",stevenpatterson@wilson.com,+1-725-287-2965,Storage,Dell EMC Unity XT,3095,3,30
Cooper Inc,"334 Perry Isle Suite 561
Andreatown, WY 77057",robert00@carter.com,(462)366-1489x172,Servers,Dell PowerEdge R540,1112,3,24
Stevens Inc,"063 Amber Cliffs
Poncemouth, SC 14539",tyler34@ward.info,+1-761-670-1282x256,Storage,Dell PowerVault ME4,2643,4,7
"Keith, Mooney and Davis","502 Barbara Lakes Suite 833
New Kevinfort, TN 28814",marco03@cole-blake.biz,935-782-7740x19522,Laptops,Dell XPS 13,7864,8,17
Allen-Walker,"19255 Ellen Rue Suite 127
New Kathrynborough, NM 25102",denise01@jones-munoz.com,288-215-2592,Laptops,Dell Inspiron 15,1365,3,12
"Green, Randall and Hernandez","358 Brown Square
New Dawnberg, CT 82862",kimberlythompson@wyatt-morris.com,424.670.6210,Servers,Dell PowerEdge T340,3821,3,15
"Ferguson, Jordan and Huff","37235 Bailey Tunnel Apt. 851
Noahton, KY 78894",cynthiacombs@delgado-vang.com,+1-811-269-1661x535,Storage,Dell Compellent SC5020,7018,10,8
Harrington-Brooks,"53121 Richard Port Apt. 687
Robertfort, TN 15843",clifford87@mcintyre-williams.biz,848-676-7225,Servers,Dell PowerEdge T340,1681,2,20
"Vance, Chavez and Wolfe","9215 Jennifer Drives
Port Emily, MT 03784",tammytanner@young.com,+1-627-653-3061x29754,Servers,Dell PowerEdge R740,2435,4,20
"James, Gonzalez and Lewis","046 Justin Vista Apt. 582
North Bryanbury, RI 72111",vandersen@hanson.com,(999)681-6180x28960,Monitors,Dell SE2419HX,7211,2,15
Moore Inc,"9214 Lopez Mountains
West Phyllis, RI 40044",pittmanjames@woods-smith.com,995.367.8440x4513,Laptops,Dell Inspiron 15,5392,10,25
"Nguyen, Cisneros and Friedman","08484 Mata Rapid
North Susan, VT 05163",georgerios@jones.com,537-243-6920,Storage,Dell PowerVault ME4,2197,9,17
"Martin, Thomas and Russell","4133 Grant Greens Apt. 126
East Rebeccamouth, IN 05678",ashleyburke@noble.info,647-223-1924x65787,Storage,Dell PowerVault ME4,8170,4,24
Ramirez-Friedman,"139 Mullen Drives Apt. 306
East Crystal, RI 48735",jordantheodore@cox-smith.com,495.462.2220x0796,Laptops,Dell Latitude 7400,691,4,27
Hughes Group,"394 Emily Trace Apt. 788
Sarahmouth, IA 53225",angela45@richards-perez.com,+1-614-846-4311,Monitors,Dell UltraSharp U2720Q,4882,2,8
"Sloan, Greer and Nunez","PSC 7048, Box 8174
APO AP 40694",lyates@adams-pruitt.net,(255)678-2440x603,Storage,Dell PowerVault ME4,4058,1,24
Love-Johnson,"35799 Joseph Canyon
Vazquezberg, IN 45220",jasmine72@hayden.com,483.950.2327x734,Servers,Dell PowerEdge R540,1207,1,12
Garrison-Mcdowell,"43048 Peterson Prairie
South Steve, AK 11585",torresmelanie@rosales.info,(470)785-0583x863,Laptops,Dell XPS 13,8702,8,29
"Russell, Phillips and Rose","4924 Austin Centers
Rebeccamouth, CA 06469",qramsey@parsons.org,816.646.5149x400,Servers,Dell PowerEdge R540,2781,6,9
Spencer Ltd,"4587 Maria Burgs Suite 722
Hamiltonville, IA 27254",janet05@lawrence.com,001-598-232-5966x746,Monitors,Dell P2419H,6068,6,12
Smith Group,"73510 Stacy Loop
New Williamberg, VT 50002",debraperez@baker.com,408.840.0534x61244,Monitors,Dell SE2419HX,1846,9,19
Green Ltd,"45969 Anderson Mill Suite 682
Martinstad, OR 50895",lindsey21@benson.biz,5796954100,Servers,Dell PowerEdge R540,3614,4,19
Hicks Group,"55367 Stephen Loop
West Kristin, CO 47966",trose@cook.com,+1-445-968-4457x918,Servers,Dell PowerEdge T340,6855,4,22
Patterson-Garcia,"0930 Nicole Views
West Nicholasport, IN 97436",mercadojohn@morrison.org,896-943-3025x538,Servers,Dell PowerEdge R740,1883,3,26
"Sanders, May and Murphy","2416 Brooks Ways
Port Diana, RI 47541",kelseyhobbs@ward.com,244.323.9907,Servers,Dell PowerEdge R540,5828,10,21
Price Ltd,"8597 Kathleen Freeway Suite 474
Lake Sethhaven, SD 92362",pwilliams@campbell.com,976.215.0586x4642,Servers,Dell PowerEdge R540,3563,5,16
Cowan Ltd,"28699 Fitzpatrick Extensions Suite 203
North Jayfort, KY 99725",hornealexandra@boyle.biz,4056117702,Storage,Dell EMC Unity XT,8577,8,16
"Douglas, Smith and Hester","2168 Maria Knolls Suite 143
Williamfurt, LA 33821",shannon20@klein.com,949-601-4608,Monitors,Dell SE2419HX,2337,3,20
